,Review group,doiOrLink,firstAuthor,year,title,foundThrough,mentionsFAIR,isRelevant,comments,standardsSuggestion,standardsHelp,bestPracticeSuggestion,bestPracticeHelp,documentationSuggestion,documentationHelp,dataFileSuggestion,dataFileHelp,metadataFilesSuggestion,metadataHelp,licenseSuggestion,licenseHelp,repositorySuggestion,repositoryHelp,registerySuggestion,registeryHelp,FAIRhelp,journalPublicaitonSuggestion,journalPublicationHelp
9,2,https://doi.org/10.2777/28598,European Commission,2020,Scholarly infrastructures for research software,https://doi.org/10.1016/j.patter.2021.100222,yes,yes,Provides mainly high-level recommendations for supporting FAIR research software but makes some recommendations for actionable items. ,,,,,,,,,all metadata exchange between the different components of the architecture should be based on the CodeMeta vocabulary. EU,,"all metadata about software must be licensed as Creative Commons CC0.

While we subscribe to the general statement that all research output should be “as open as possible, as closed as necessary”, we believe that to fully achieve the potential of Open Science, all research software should be made available under an Open Source license by default, and all deviations from this default practice should be properly motivated. We recommend including this clause in all future research funding programs.",Licence information (software): SPDX license list,"Software Heritage assembles not only research software, but source code in general. It makes use of systematic harvesting, so no explicit deposit is needed, and uniformly represents all VCSs, with provenance and traceability. Intrinsic identifiers for software are used systematically for the over 20 billion software artifacts in the archive, covering all levels of granularity, such as project status, project release, state of source code, and code fragment. 

HAL, on the other hand, is specific to research software and requires deposit. The service has extensive, software-specific, metadata and involves human intervention for careful and manual curation of metadata. Extrinsic identifiers are assigned to the metadata, but intrinsic identifiers are assigned, via transfer to Software Heritage, to the software source code itself. 

Zenodo assembles mainly research software. Like HAL, a deposit is required, however deposit automation is possible for users of GitHub that explicitly enable synchronisation with Zenodo. Metadata can be edited by the owner, and support for more advanced curation processes is planned. Extrinsic identifiers (DOIs) are assigned to both the project as a concept, and the software specific release. Integration with Software Heritage is planned.",,,,,,
10,2,https://doi.org/10.12688/f1000research.11407.1,Jiménez,2017,Four simple recommendations to encourage best practices in research software,https://doi.org/10.3233/DS-190026,yes,yes,"Based on the recommendations for Open Source Software (OSS)  but  demonstrated how they align with FAIR principles. 

Related to this: https://softdev4research.github.io/4OSS-lesson/",,,"Develop source code in a publicly accessible, version controlled repository (e.g., GitHub and Bitbucket) from the beginning of the project.  Opening code and exposing the software development life cycle publicly from day one: • Promotes trust in the software and broader project • Facilitates the discovery of existing software development projects • Provides a historical public record of contributions from the start of the project and helps to track recognition • Encourages contributions from the community • Increases opportunities for collaboration and reuse • Exposes work for community evaluation, suggestions and validation • Increases transparency through community scrutiny • Encourages developers to think about and showcase good coding practices • Facilitates reproducibility of scientific results generated by all prior versions of the software • Encourages developers to provide documentation, including a detailed user manual and clear in-code comments

Docker is an open source project that automates the deployment of software applications in a sandbox (called container).

Containers are a way to package software so that it can be run isolated on an operating system, e.g. Linux. Unlike virtual machines, containers do not bundle a full operating system - only libraries and settings, required to make the software work. This makes containers efficient, lightweight systems and guarantees that software runs reproducibly, regardless of where it is deployed.",,"README - The ‘front page’ of your project

The simplest documentation is the README.md file. For more visibility, a small website can be easily created to host the documentation, for example using the GitHub pages or ReadTheDoc.",,,,"The Dublin Core Metadata Initiative), or “DCMI” It is an open organization supporting innovation in metadata design and best practices across the metadata ecology
CodeMeta Includes tools for preparing metadata in JSON format
Schema.org To describe software applications
SoftwareX Code metadata To publish software with its respective metadata
EDAM Ontology EDAM is a comprehensive ontology of well-established, familiar concepts that are prevalent within bioinformatics and computational biology, including types of data and data identifiers, data formats, operations and topics)
BioSchema.org Bioschemas is a community project built upon schema.org. It provides customisations, a.k.a. profiles, on top of schemas.org types and properties. Profiles include examples together with guidelines regarding cardinality, marginality and reuse of well-known vocabularies in Life Sciences.",,"We advise choosing a OSI-approved Open Source Licence unless your institution or project requires a different licence.

By including an open source license in your repository, it makes easier for other people to contribute. Most of the projects places their license information in a file named LICENSE (LICENSE.txt or LICENSE.md or LICENSE.rst or COPYING, COPYING.txt, COPYING.md, COPYING.rst are also used) in the root of the repository.",Websites like “Choose an open source license” provide guidelines to help users to select an OSI-approved Open Source Licence. Organisations like the OSS Watch also provide advice on how to keep track of the licences of software dependencies. ,,,"Examples of community registries of software metadata are bio. tools (Ison et al., 2016), (Ison et al., 2016) biojs.io (Corpas et al., 2014; Gómez et al., 2013) and Omic Tools (Henry et al., 2014) in the life sciences and DataCite (Brase, n.d.) as a generic metadata registry for software as well as data.

bio.tools This is a portal to bioinformatics resources worldwide, aimed to help bioinformaticians and scientists find, understand, compare and select resources, as well as use and connect them in workflows.
As a platform, it makes use of the EDAM ontology, and therefore provides a standardized vocabulary for providing metadata. Moreover, it includes aspects such as language and platform. However, it does not support filters by language nor does it assign a doi to the software (which is to be expected, as it serves as a registry and not a repository).

OMICTools This is a commercial service providing a registry of tools relevant in life sciences, containing sufficient metadata for connecting different tools in a single pipeline. However, it is not an open registry, i.e. the authors need to contact the development team in order for a tool to be included.

Astrophysics Source Code Library The Astrophysics Source Code Library (ASCL) is a free online registry for source codes of interest to astronomers and astrophysicists and lists codes that have been used in research that has appeared in, or been submitted to, peer-reviewed publications. It is fairly simple compared to other registries, but it focused on a particular domain (astrophysics).

BioCatalogue The BioCatalogue is a curated catalogue of Life Science Web Services. The BioCatalogue was launched in June 2009 at the Intelligent Systems for Molecular Biology Conference. The project is a collaboration between the myGrid project at the University of Manchester led by Carole Goble and the European Bioinformatics Institute led by Rodrigo Lopez. It is funded by the Biotechnology and Biological Sciences Research Council. It contains only web services. The BioCatalogue is based on an open source Ruby on Rails codebase.

Metadata tools from the US Federal Geographic Data Committee This is a complete list of tools for capturing software metadata in the Geographic Data domain.

Zenodo Zenodo is a research data repository. It was created by OpenAIRE and CERN to provide a place for researchers to deposit datasets. It launched in 2013, allowing researchers in any subject area to upload files up to 50 GB. Zenodo has integration with GitHub to make code hosted in GitHub citable. Zenodo is a general-purpose open access repository.",,,,
11,2,https://doi.org/10.7717/peerj-cs.86,Smith,2016,Software citation principles,https://doi.org/10.3233/DS-190026,no,yes,Focuses on principles for citing software. Discusses about existing metadata standards but does not recommend any explicitely,,,,,,,,,,,,,"For software, we recommend the use of DOIs as the unique identifier due to their common usage and acceptance, particularly as they are the standard for other digital products such as publications.

This is currently offered by services such as figshare and Zenodo (GitHub, 2014), which both generate persistent DataCite DOIs for submitted software",https://docs.github.com/en/repositories/archiving-a-github-repository/referencing-and-citing-content,,,,,
12,2,https://doi.org/10.7287/peerj.preprints.2630v1,Katz,2016,"Software vs. data in the
context of citation,",https://doi.org/10.3233/DS-190026,no,no,Discussed differences between software and data,,,,,,,,,,,,,,,,,,,
13,2,https://doi.org/10.1162/dint_a_00033,Goble,2020,FAIR Computational Workflows,https://doi.org/10.3233/DS-190026,yes,no,"This paper focuses on current limitations for making computational workflows FAIR. It concludes that ""FAIR principles for data, and for software, are generally applicable, but need to be extended in order to address the processual nature of workflows""",,,,,,,,,,,,,,,,,,,
14,2,"https://doi.org/10.5281/zenodo.1324296
",Ferguson,2018,D3.1 Survey of Current PID Services Landscape,https://doi.org/10.3233/DS-190026,no,yes,Reviews Persistent Identifiers (PIDs). Includes some sections specifically on software,,,,,,,,,"Another challenge is the variety of metadata standards used in the community. The Codemeta project64 tries to address this challenge by providing a crosswalk table between these metadata standards, and codemeta support is added to an increasing number of services facilitating software citation9.",,,"There are initiatives that maintain databases of Licenses. One example is Software Package Data Exchange (SPDX)73 which aims to standardize the way that license information, including components, license and","Several initiatives currently facilitate software citation. One is the CERN-hosted online repository Zenodo59, which allows source code from the popular software development site GitHub to be preserved and cited through its infrastructure by registering DOIs for research software60. Of the now more than 50k DOIs registered for software, more than 80% were registered via Zenodo61.

DOIs might be the preferred persistent identifier for citing research software in most communities, however there is another highly relevant identifier used to track changes during software code development (versioning): the “commit hash” of the version control system, e.g. git, that is based on Merkle trees. Hashes are derived directly from the software code, and (with some exceptions) globally unique. These hashes are used heavily by source code repositories such as GitHub, and by Software Heritage, an archive for software source code66 that archives GitHub as well as the now defunct source code repositories Google Code and Microsoft CodePlex.",,,,,,
15,2,https://doi.org/10.1093/bib/bbz075,Ison,2019,Community curation of bioinformatics software and data resources,https://doi.org/10.3233/DS-190026,no,no,This paper is about a biomedical software registry (bio.tools) that could help make software FAIR. We would have to see if other studies recommend it.,,,,,,,,,,,,,,,,,,,
16,2,https://doi.org/10.1093/bioinformatics/btx192,Leprevost,2017,BioContainers: An open-source and community-driven framework for software standardization,https://doi.org/10.3233/DS-190026,no,no,This paper is about a tool that could help make software FAIR. We would have to see if other studies recommend it.,,,,,,,,,,,,,,,,,,,
17,2,https://doi.org/10.5281/zenodo.2555498,Martinez,2019,Top 10 FAIR Data & Software Things - Research Software,https://doi.org/10.3233/DS-190026,yes,yes,,,,"make your code modular, have code level documentation, provide tests, follow code standards, use version control, etc","There are several guidelines which you can use to guide you in the process such as the eScience Center Guide, the best practices and the good enough practices. https://guide.esciencecenter.nl/#/. https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.1001745, https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1005510","List all operations that your software provides, and describe them along with corresponding input and output data types. If possible, use terms from a domain ontology like EDAM.

Your software should include sufficient documentation: instructions on how to install, run and use your software. All dependencies of your software should be clearly stated. Provide sufficient examples on how to execute the different operations your software offers, ideally along with example data.",Write the Docs page explains and gives examples of good documentation: https://www.writethedocs.org/guide/writing/beginners-guide-to-docs/,,,"Codemeta is a set of keywords used to describe software and way to structure them in machine readable way

Edam is an example of an ontology that provides terminology that can be used to describe bioinformatics software.

Read documentation of Citation File Format and create CFF file for your software","For examples of Codemeta used in software packages see: • https://github.com/NLeSC/boatswain/blob/master/codemeta.json • https://github.com/datacite/maremma

https://softdev4research.github.io/4OSS-lesson/05-use-registry/index.html

https://citation-file-format.github.io/cff-initializer-javascript/#/",,"Choose a license website provides a simple guide for picking the right license for your software: https://choosealicense.com/

Follow the 4OSS lesson to learn more about licenses and their implications: https://softdev4research.github.io/4OSS-lesson/03-use-license/index.html","For example, Zenodo provides you with a DOI (Digital Object Identifier) that will be resolvable for at least the next 20 years. Recent initiatives, such as Software Heritage, propose to associate a permalinks as intrinsic SHA1 identifier to software. 

Is it hosted on a reliable platform (long term persistent, such as Zenodo, PyPI, CRAN)?",https://docs.github.com/en/repositories/archiving-a-github-repository/referencing-and-citing-content,Here are some examples of research software registries: * bio.tools * Research Software Directory (check if your institution hosts one) * rOpenSci Project * Zenodo,https://softdev4research.github.io/4OSS-lesson/05-use-registry/index.html,,,
18,2,https://doi.org/10.3389/fninf.2017.00069,Benureau,2018,"Re-run, repeat, reproduce, reuse, replicate: Transforming code into scientific contributions",https://doi.org/10.3233/DS-190026,no,yes,,,,,,A proper documentation on how to install and run the software often makes the difference whether other researchers manage to use it or not,,Code and input data and result data should be available,,,,,,"through a DOI link to a scientific repository such as Figshare, Zenodo5 or a domain specific database, such as ModelDB for computational neuroscience.",,,,,,
19,3,https://www.ouvrirlascience.fr/opportunity-note-encouraging-a-wider-usage-of-software-derived-from-research/,Clément-Fontaine,2019,Opportunity Note: Encouraging a wider usage of software derived from research,https://www.rd-alliance.org/group/software-source-code-ig/wiki/fair4software-reading-materials,yes,no,"Provides high-level recommendations only

""sustainable and public since the example of Google Code, a free software development platform which closed in 2015, demonstrated that the private sector cannot guarantee long-term sustainability.""

This all requires metadata quality control procedures which are absent in repositories such as FigShare or Zenodo3 but are currently being developed for HAL4.",,,,,,,,,,,,,,,,,,,
20,3,https://doi.org/10.3233/ISU-170824,Mons,2017,"Cloudy, increasingly FAIR; revisiting the FAIR Data guiding principles for the European Open Science Cloud",https://www.rd-alliance.org/group/software-source-code-ig/wiki/fair4software-reading-materials,yes,no,Discusses FAIR data and not software,,,,,,,,,,,,,,,,,,,
21,3,https://doi.org/10.1515/itit-2019-0040,Hasselbring ,2020,From FAIR research data toward FAIR and open research software,https://www.rd-alliance.org/group/software-source-code-ig/wiki/fair4software-reading-materials,yes,yes,,,,"GitHub serves for use, reuse, and active involvement of researchers.

Proper interface definitions in modular software architectures are essential for interoperable research software components. Software virtualization techniques such as Docker containers and online services help to support portability, and thus interoperability and reusability across platforms. To achieve this, researchers must be competent and willing to learn to provide their software in executable ways for whatever infrastructure they would like to have impact via reuse through other researchers.

From a software engineering point of view, modular software architectures allow for reusing parts of research software systems

Use software development platforms such as GitHub for code cloning
Provide proper interface definitions in modular software architectures
Use software development platforms such as GitHub for active involvement
Build modular software architectures to allow for reusing parts of research software
Use domain-specific languages for comprehensibility and modularity of research software",,,,,,"However, there exists guidelines for software citation and identification [38], and already some metadata standards for software citation exist [26]: – The Citation File Format (CFF) is a human- and machine-readable file format in YAML which provides citation metadata for software [11]. – A CodeMeta instance file describes the metadata associated with a software object using JSON’s linked data (JSON-LD) notation [3].",,"The FAIR data principles do not require openness, but research software should be open source software. Established open source software licenses provide sufficient licensing options, such that it should be the rare exception to keep research software closed.",,"This may, for instance be achieved via taking a snapshot from GitHub to be archived on Zenodo.org [16]: – GitHub serves for use, reuse, and active involvement of researchers. – Zenodo serves for archival and reproducibility of published research results.

The Software Heritage archive could be another option for software preservation [9]


Use repositories such as Zenodo to access archived software versions",https://docs.github.com/en/repositories/archiving-a-github-repository/referencing-and-citing-content,,,,,
22,3,https://doi.org/10.1162/dint_a_00026,Weigel,2020,Making Data and Workflows Findable for Machines,https://www.rd-alliance.org/group/software-source-code-ig/wiki/fair4software-reading-materials,yes,no,Does not focus on research software,,,,,,,,,,,,,,,,,,,
23,3,https://hal.archives-ouvertes.fr/hal-02475835,Di Cosmo,2020,Curated Archiving of Research Software Artifacts: lessons learned from the French open archive,https://www.rd-alliance.org/group/software-source-code-ig/wiki/fair4software-reading-materials,no,yes,"SWH is used as for sharing in the proposed project but it is innitiated by the SWH team so we do not include it under recommended repository

""Today, there exist platforms that offer source code deposit, such as Zenodo and Figshare, but do not have any pre-submission checks for the self-archived content. HAL chose to follow ArXiv’s example10 and implement a sophisticated moderation workflow in order to ensure that quality metadata is attached to every deposit into the platform.""

""We argue that this requires human intervention, and that it is not enough to just share software on code hosting platforms like GitHub, or self-archive it on repositories like Figshare or Zenodo.""",,,,,"README - Elements that we require and recommend to be included in the README file were taken from the ""Best Practices on How to Release Software"" from (Raymond E. S., 2000) ?MUST include: •name of the software/project •a brief description of the project ?SHOULD include: •project website or documentation pointer •authors/credits list (if not in AUTHORS file) •license (if not in LICENSE file) •Contact and support ?CAN include: •list of features •developer's build environment •build, installation, requirements - how to run the code •usage - how to use the source code •recent project news •visual",,,,"We researched the software vocabulary landscape for a vocabulary adapted to scientific software, and we found that the CodeMeta vocabulary was a perfect fit. A refinement of the schema.org classes SoftwareApplication and SoftwareSourceCode, it provides a convenient bridge with linked data and the semantic web. In addition the core metadata for software is compliant with existing standards like TEI and Dublin Core.",,LICENSE (Preferably from the SPDX referential catalog13),,,,,,,,
