,Review group,doiOrLink,firstAuthor,year,title,readDate,foundThrough,mentionsFAIR,isRelevant,comments,standardsSuggestion,standardsHelp,bestPracticeSuggestion,bestPracticeHelp,documentationSuggestion,documentationHelp,dataFileSuggestion,dataFileHelp,metadataFilesSuggestion,metadataHelp,licenseSuggestion,licenseHelp,repositorySuggestion,repositoryHelp,registerySuggestion,registeryHelp,FAIRhelp,journalPublicaitonSuggestion,journalPublicationHelp
23,3,https://hal.archives-ouvertes.fr/hal-02475835,Di Cosmo,2020,Curated Archiving of Research Software Artifacts: lessons learned from the French open archive,,https://www.rd-alliance.org/group/software-source-code-ig/wiki/fair4software-reading-materials,no,yes,"SWH is used as for sharing in the proposed project but it is innitiated by the SWH team so we do not include it under recommended repository

""Today, there exist platforms that offer source code deposit, such as Zenodo and Figshare, but do not have any pre-submission checks for the self-archived content. HAL chose to follow ArXiv’s example10 and implement a sophisticated moderation workflow in order to ensure that quality metadata is attached to every deposit into the platform.""

""We argue that this requires human intervention, and that it is not enough to just share software on code hosting platforms like GitHub, or self-archive it on repositories like Figshare or Zenodo.""",,,,,README,,,,CodeMeta,,Licenses from the SPDX referential catalog,https://spdx.dev/,,,,,,,
24,3,https://doi.org/10.12688/f1000research.23224.2,Anzt,2021,"An Environment for Sustainable Research Software in Germany and beyond: Current State, Open Challenges, and Call for Action",,https://doi.org/10.5281/zenodo.4555865,yes,yes,"""Research software contributors should have an ORCID iD to be uniquely identifiable and referable""",,,Use container technologies (Docker),,,Doxygen,,,Citation File Format; CodeMeta,,FSF-approved licenses; OSI-approved licenses; Apache 2.0; MIT,,Zenodo; Figshare; Mendeley Data; CRAN,https://inveniosoftware.org/,,,,,
25,3,https://doi.org/10.1016/j.cels.2018.03.014,Gruning,2018,Practical Computational Reproducibility in the Life Sciences,,https://doi.org/10.5281/zenodo.4555865,no,yes,Best practices more oriented for analysis workflow,,,,,,,,,,,,,,,,,,,
26,3,http://arxiv.org/abs/1908.05986,Hasselbring,2019,FAIR and Open Computer Science Research Software,,https://doi.org/10.5281/zenodo.4555865,yes,no,Preprint of previsouly listed paper https://doi.org/10.1515/itit-2019-0040,,,,,,,,,,,,,,,,,,,
27,3,https://doi.org/10.12688/f1000research.26932.2,Katz,2021,The Importance of Software Citation,,https://doi.org/10.5281/zenodo.4555865,no,yes,,,,,,,,,,,,Open source licenses,https://choosealicense.com/,,,,,,,
28,3,https://doi.org/10.1055/s-0040-1713684,Sinaci,2020,From Raw Data to FAIR Data: The FAIRification Workflow for Health Research,,https://doi.org/10.5281/zenodo.4555865,yes,no,Focused on health data not research software,,,,,,,,,,,,,,,,,,,
29,3,https://doi.org/10.5281/zenodo.4310217,Martinez-Ortiz,2020,"Five recommendations for ""FAIR software""",,https://zenodo.org/communities/fair4rs,yes,yes,,,,"Develop with a version control system (GitHub, Bitbucket, GitLab)",https://software.ac.uk/choosing-repository-your-software-project,README,,,,CodeMeta; Citation File Format,https://citation-file-format.github.io/cff-initializer-javascript/#/,Apache 2.0; MIT,https://choosealicense.com/; https://tldrlegal.com/,Zenodo; Figshare; Software Heritage,,,https://github.com/NLeSC/awesome-research-software-registries,,,
30,4,https://dx.doi.org/10.12688%2Ff1000research.16015.1,Navale,2018,Long-term preservation of biomedical research data,12/02/2021,PubMed,yes,no,Does not discuss FAIR software,,,,,,,,,,,,,,,,,,,
31,4,https://doi.org/10.1371/journal.pone.0213013,Madduri,2019,Reproducible big data science: A case study in continuous FAIRness,12/02/2021,PubMed,yes,yes,Describes a workflow developed by the authors for processing big data and explains how it was made FAIR. Focuses more on the overall workflow that includes data and code rather than on making software FAIR,,,"Use container technologies (Docker, Singularity)",,,,Source code,,,,,,,,,,,,
32,4,https://doi.org/10.1021/acs.jcim.0c00018,Gygli,2020,Simulation Foundry: Automated and F.A.I.R. Molecular Modeling,12/02/2021,PubMed,yes,no,"Simulation Foundry (SF), an open platform to guarantee the repeatability of molecular
dynamics simulations (MDS). It achieves that by making simulation data and metadata FAIR. It is not focused on making research software FAIR but rather the data transitioning through it.",,,,,,,,,,,,,,,,,,,
33,4,https://dx.doi.org/10.12688%2Fwellcomeopenres.16378.2,Austin,2020,Fostering global data sharing: highlighting the recommendations of the Research Data Alliance COVID-19 working group,12/02/2021,PubMed,yes,no,"There is a section on high-level recommendation for making software FAIR along with references, but no actionable items are directly mentioned.",,,,,,,,,,,,,,,,,,,
34,5,https://doi.org/10.12688/f1000research.10750.2,Silva,2017,General guidelines for biomedical software development,,Author knowledge,,,Useful for best practices,,,"Develop with a version control system (GitHub, Bitbucket); Have code level documentation; Use container technologies (Docker)",,,Sphinx3; Javadoc,,,,,Open source licenses,"The license should be stated clearly on the project’s front page and in the root of the source code. The full license text can be included here in a file called COPYING or LICENSE, following the standard format. The copyrights should be assigned together with the license. The common nomenclature adds the year and the organization owning the copyright: Copyright (C) <year><name of organization>. The year specification may be a range, such as 2014–2016, to restrict the copyright to a period of time28. This line should be included in the headers of all source code files, together with a short license.",,,,,,,
35,5,https://datascience.nih.gov/tools-and-analytics/best-practices-for-sharing-research-software-faq,NIH,2021,Best Practices for Sharing Research Software,,Author knowledge,yes,yes,,,,"Develop with a version control system (GitHub, Bitbucket, GitLab)",,,https://bssw.io/items?topic=documentation,Source code; Executable,,Citation File Format,https://docs.github.com/en/repositories/managing-your-repositorys-settings-and-features/customizing-your-repository/about-citation-files,OSI-approved licenses,https://opensource.org/licenses,Zenodo; Conda; Bioconductor; Dockstore,,,,,,
36,5,https://doi.org/10.3389/fgene.2014.00199,Leprevost,2014,On best practices in the development of bioinformatics software,,https://doi.org/10.1093/bioinformatics/btx192,no,yes,Refer for best practices,,,Develop with a version control system; Provide tests; Include sample data,,,,Source code,,,,Open source licenses,,Figshare,https://mozillascience.github.io/code-research-object/,,,,,
37,5,"https://doi.org/10.5281/zenodo.3479199
",Chue Hong,2019,Software Citation Checklist for Authors,,https://doi.org/10.12688/f1000research.26932.2,no,no,Not relevant,,,,,,,,,,,,,,,,,,,
38,5,https://libguides.mit.edu/software, MIT Libraries,,Citing & publishing software: Publishing research software,,Author knowledge,no,yes,,,,Develop with a version control system,,,,,,A CITATION file,,,,CRAN; NanoHub; Dataverse; Zenodo; Figshare,"https://www.re3data.org/

https://docs.github.com/en/repositories/archiving-a-github-repository/referencing-and-citing-content

http://mozillascience.github.io/code-research-object/",,,,"A software journal, such as PLOS One or The Journal of Open Research Software, allowssubmissions that ""allow for submissions entirely focused on research software"", enablingdescription and credit for research software ( Force11 software citation principles ). Like datajournals, which focus on publishing papers that describe data sets, these journals supportpublishing papers that explain and describe research software packages. Publishing a softwarepaper both serves as a way to extensively document the code, and to get publication credit foryour work.",https://www.software.ac.uk/which-journals-should-i-publish-my-software
39,5,https://coderefinery.github.io/reproducible-research/,coderefinery,,Reproducible research,,Author knowledge,yes,yes,,,,"Develop with a version control system; Record dependencies (requirement.txt); Use container technologies (Docker, Singularity); Have code level documentation","https://coderefinery.github.io/reproducible-research/dependencies/

https://coderefinery.github.io/reproducible-research/organizing-projects/ 

https://coderefinery.github.io/reproducible-research/environments/",README,,,,,,,,Zenodo,https://www.re3data.org/,,,,,
40,5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6301674/,,,Ten simple rules for documenting scientific software,,,,,Whole paper is a best practice guide for documentation,,,Have code level documentation,,README,Sphinx; perldoc; Javadoc; Roxygen,,,Citation File Format,,,,,,,,,,
41,5,https://doi.org/10.1371/journal.pcbi.1005510,Wilson,2017,"
Good enough practices in scientific computing",,Author knowledge,no,yes,"""This paper focuses on these first accessible skills and perspectives—the ""good enough"" practices—for scientific computing: a minimum set of tools and techniques that we believe every researcher can and should consider adopting."" ",,,"Develop with a version control system (GitHub, Bitbucket, GitLab); Have code level documentation; Provide tests; Record dependencies (requirement.txt, README)",,README,,,,A CITATION file,,Permissive licenses; MIT; BSD; Apache 2.0,"Have a LICENSE file in the project's home directory that clearly states what license(s) apply to the project's software, data, and manuscripts.",Figshare; Zenodo,,,,,,
42,5,https://doi.org/10.1371/journal.pbio.1001745,Wilson,2014,Best Practices for Scientific Computing,,,no,no,Not really related to softare reuse. Could be mentioned for best practices,,,,,,,,,,,,,,,,,,,
43,,"https://doi.org/10.5281/zenodo.1327329
",Jackson,2018,Software Deposit: Where to deposit software,,Author knowledge,no,yes,,,,,,,,,,,,,,Zenodo; Figshare; Software Heritage; HAL,"https://www.re3data.org/

https://docs.github.com/en/repositories/archiving-a-github-repository/referencing-and-citing-content

http://mozillascience.github.io/code-research-object/",,,,,
44,,"https://doi.org/10.5281/zenodo.1327327
",Jackson,2018,Software Deposit: How to deposit software,,Author knowledge,no,no,"Doesn't provide anymore recommendation than the sister publication  https://doi.org/10.5281/zenodo.1327329
",,,,,,,,,,,,,,,,,,,
45,,https://doi.org/10.15497/rda00052,RDA COVID-19 Working Group,2020,RDA COVID-19 Recommendations and Guidelines on Data Sharing,,https://dx.doi.org/10.12688%2Fwellcomeopenres.16378.2,yes,yes,"""Examples: There are various initiatives that link community members with specific digital skills to projects needing additional support, including Open Source Software helpdesk for COVID-19 (Caswell et al., 2020) and COVID-19 Cognitive City (Grape, 2020). Other initiatives aim to increase skills for engaging with software and code, such as the Carpentries (Carpentries, 2020), USA’s NIH events (NIH, 2020d); and the Galaxy Community and ELIXIR’s webinar series (ELIXIR, 2020).""",,,"Develop with a version control system (GitHub, Bitbucket, GitLab)",,,Ten simple rules for documenting scientific software,,,,,Open source licenses,https://choosealicense.com/,Zenodo; Figshare,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
